term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,model
comorbidity,0.2548132477101578,0.06494659374138735,3.923427435237108,0.003121519952738303,0.1091475577979033,0.40047893762241227,9.538050078535495,Depression,M3
gen_health,-0.12291817999703318,0.052992299280568846,-2.3195479657570677,0.045100207627808135,-0.24251473441986665,-0.0033216255741996964,9.140529256121505,Depression,M3
perceived_risk,0.020134205823676192,0.005070409673923687,3.9709228875968776,0.0045564155573282914,0.008334986781310094,0.03193342486604229,7.604032238134724,Depression,M3
risk_self,0.0016412638218593005,0.05637431413012241,0.0291136814200694,0.9773616693747726,-0.12442023732356275,0.12770276496728136,9.742372118475016,Depression,M3
health_trust,-0.01419068039920246,0.030130222416319484,-0.4709782823082095,0.6491365408260128,-0.08261011376948245,0.05422875297107753,8.780896452397585,Depression,M3
worry_health_fear,-0.049185171404628504,0.037588115108448145,-1.308529870750924,0.22501086016724223,-0.13500292707315048,0.036632584263893465,8.488473877088417,Depression,M3
worry_economic,0.03410581885901132,0.029955956572272274,1.1385321238775006,0.2881483361282657,-0.03508872571527793,0.10330036343330057,7.9236806629543235,Depression,M3
worry_basic_needs,0.07453288801235941,0.02545035727566099,2.928559595650064,0.015672033196135707,0.01752523937392156,0.13154053665079726,9.62522484126263,Depression,M3
worry_social,0.04425205532906166,0.027195522092729973,1.6271816800638408,0.13513432246200713,-0.01644501787772973,0.10494912853585305,9.877909091601156,Depression,M3
worry_safety_stigma,0.17285125057331535,0.04357214839115005,3.9670123451710086,0.004869845476134313,0.0708758198924026,0.2748266812542281,7.376424510691614,Depression,M3
livelihood_disruption,0.023708794061549375,0.01521248180037566,1.5585092802519511,0.15878031527326955,-0.01154287541424693,0.05896046353734568,7.78220744799884,Depression,M3
(Intercept),-0.6644462233479845,0.7412106605786792,-0.8964337113408987,0.3977115164855377,-2.3916895958498934,1.062797149153924,7.547358488738602,Depression,M4
countryNepal,-0.31737952799500435,0.18817052549791233,-1.686659093687473,0.14208422188898867,-0.7765628368034774,0.14180378081346867,6.068304799405868,Depression,M4
countryVietnam,0.042470563150300865,0.22748542964867585,0.18669575109004383,0.8575506668331195,-0.5030653359161693,0.588006462216771,6.54806977933883,Depression,M4
age,-0.009640983101419557,0.004367998508333581,-2.207185529717054,0.054666200571375285,-0.019520545440582262,2.3857923774314727e-4,9.009193157918512,Depression,M4
female,0.16205244533171864,0.1130075001670675,1.4339972576346198,0.1854669246867957,-0.09368077563762872,0.417785666301066,8.978695318940128,Depression,M4
ethnicity_minority,0.05230066613094977,0.11909755597875404,0.43914138876434833,0.675082592322332,-0.23514282797756855,0.3397441602394681,6.362490733215069,Depression,M4
education,0.009824839363411041,0.04703477095178717,0.2088846010004377,0.8392292028850571,-0.09671642524712568,0.11636610397394775,8.92240432280322,Depression,M4
employmentPart-time/casual,0.004323519321143012,0.07205153250502869,0.060005931460809125,0.9533895062394344,-0.1572776565883958,0.1659246952306818,9.53798819542561,Depression,M4
employmentStudent,-0.10466895585551292,0.19945406220687092,-0.5247772579680616,0.6222208612904637,-0.6177813332922478,0.40844342158122193,4.987092461202259,Depression,M4
employmentNot working,-0.019653382178982295,0.11421874897052241,-0.1720679166609892,0.8672052464478399,-0.27818291975313286,0.2388761553951683,8.96614907356373,Depression,M4
comorbidity,0.3209895894536865,0.09857821990500594,3.2561917811358874,0.010030452018207998,0.09764872291392929,0.5443304559934437,8.910620197832763,Depression,M4
gen_health,0.01876414685467677,0.08630284044981662,0.2174221237316951,0.8332893854601378,-0.18003750108469901,0.21756579479405258,8.049555262722963,Depression,M4
perceived_risk,0.01999940538590934,0.005978893525982426,3.3450010940984476,0.011682014196242244,0.0059651096231297905,0.034033701148688894,7.264117539966193,Depression,M4
risk_self,7.381831752574159e-4,0.0688037125320836,0.010728827676459994,0.9916670748312979,-0.15420981048744062,0.15568617683795546,9.273452611146077,Depression,M4
health_trust,-0.0059125400310373,0.046122416027826296,-0.1281923311968346,0.9010446518480147,-0.11158196296062808,0.09975688289855347,8.311122188693982,Depression,M4
worry_health_fear,-0.07314893818823819,0.05115547543133484,-1.42993369862088,0.1881333764268296,-0.18974554071829294,0.04344766434181657,8.577442270593567,Depression,M4
worry_economic,0.02920616451008687,0.040498296937347786,0.721170190323553,0.49463934102104967,-0.06695234148056285,0.12536467050073657,6.86081133501222,Depression,M4
worry_basic_needs,0.0881262496381218,0.04325472229910629,2.0373786942551386,0.07241704123119076,-0.009888644308577554,0.18614114358482114,8.901138038151755,Depression,M4
worry_social,0.030070564566259617,0.028704909626254105,1.047575657188499,0.322943548199292,-0.03516203525262883,0.09530316438514806,8.738362176662687,Depression,M4
worry_safety_stigma,0.18480014340641743,0.06800388017891276,2.7174941035750173,0.028263374026781637,0.025822197196181756,0.3437780896166531,7.419701792214798,Depression,M4
livelihood_disruption,0.025975640433560144,0.02073532181533955,1.252724248260469,0.24607123692064992,-0.021934907157056174,0.07388618802417646,7.910051298932973,Depression,M4
compliance,0.0053080343411473566,0.00547370089963189,0.969734086402917,0.36686689775283793,-0.007839725124616065,0.01845579380691078,6.500181539550924,Depression,M4
prevention_evidence,0.005095234017239286,0.012650911157273731,0.4027562879777039,0.6960133603925329,-0.023282318837559428,0.033472786872038,9.530025893885155,Depression,M4
prevention_folk,-7.091639404595794e-4,0.011050551731310684,-0.0641745279061706,0.950053720291965,-0.025218556671830983,0.023800228790911822,10.3512104306768,Depression,M4
